variant,dataset_name,language,model_name,num_rows,mean_wer,mean_term_recall,mean_term_f1,candidate_count,applied_count,rejected_count,needs_review_count,no_op_count,api_used_count
asr_only,Earnings-22,en,base,12,0.325876,0.833333,0.833333,7,0,0,0,0,0
asr_only,Earnings-22,en,tiny,12,0.372716,0.750000,0.750000,7,0,0,0,0,0
glossary_candidates_only,Earnings-22,en,base,12,0.325876,0.833333,0.833333,7,0,0,0,0,0
glossary_candidates_only,Earnings-22,en,tiny,12,0.372716,0.750000,0.750000,7,0,0,0,0,0
llm_without_rag_conservative,Earnings-22,en,base,12,0.325876,0.833333,0.833333,0,0,0,0,0,0
llm_without_rag_conservative,Earnings-22,en,tiny,12,0.372716,0.750000,0.750000,0,0,0,0,0,0
rag_evidence_gate_v2,Earnings-22,en,base,12,0.325876,1.000000,1.000000,7,2,4,0,1,0
rag_evidence_gate_v2,Earnings-22,en,tiny,12,0.372716,0.916667,0.916667,7,2,4,0,1,0
rag_llm_verifier_v2,Earnings-22,en,base,12,0.325876,1.000000,1.000000,7,2,3,1,1,6
rag_llm_verifier_v2,Earnings-22,en,tiny,12,0.372716,0.916667,0.916667,7,2,4,25,3,7
