variant,dataset_name,language,model_name,num_rows,mean_wer,mean_term_recall,mean_term_f1,candidate_count,applied_count,rejected_count,needs_review_count,no_op_count,api_used_count
asr_only,Earnings-22,en,base,1,0.240088,1.000000,1.000000,0,0,0,0,0,0
asr_only,Earnings-22,en,tiny,1,0.257709,1.000000,1.000000,0,0,0,0,0,0
glossary_candidates_only,Earnings-22,en,base,1,0.240088,1.000000,1.000000,0,0,0,0,0,0
glossary_candidates_only,Earnings-22,en,tiny,1,0.257709,1.000000,1.000000,0,0,0,0,0,0
llm_without_rag_conservative,Earnings-22,en,base,1,0.240088,1.000000,1.000000,0,0,0,0,0,0
llm_without_rag_conservative,Earnings-22,en,tiny,1,0.257709,1.000000,1.000000,0,0,0,0,0,0
rag_evidence_gate_v3,Earnings-22,en,base,1,0.240088,1.000000,1.000000,0,0,0,0,0,0
rag_evidence_gate_v3,Earnings-22,en,tiny,1,0.257709,1.000000,1.000000,0,0,0,0,0,0
rag_llm_verifier_v3,Earnings-22,en,base,1,0.240088,1.000000,1.000000,0,0,0,0,0,0
rag_llm_verifier_v3,Earnings-22,en,tiny,1,0.257709,1.000000,1.000000,0,0,0,0,0,0
