model_name,feature_set,feature,importance,rank
logistic_regression,risk_only,uncertainty_score,1.7002269939436971,1
logistic_regression,risk_only,edit_distance_ratio,1.5666453112522565,2
logistic_regression,risk_only,context_risk_score,0.679256779425211,3
logistic_regression,risk_only,llm_variant_flag,0.6600037996333142,4
logistic_regression,risk_only,overlap_flag,0.5134149095350734,5
logistic_regression,risk_only,changed_token_ratio,0.45240579414261,6
logistic_regression,risk_only,rule_variant_flag,0.3988742967252829,7
logistic_regression,risk_only,num_changed_tokens,0.26873278363232594,8
logistic_regression,risk_only,heavy_overlap_flag,0.2510423086524111,9
logistic_regression,risk_only,api_used_flag,0.06280875191523357,10
logistic_regression,risk_only,language_fr_flag,0.0386245430541339,11
logistic_regression,risk_only,language_en_flag,0.029588989284161083,12
logistic_regression,risk_only,language_zh_flag,0.027739939094706335,13
logistic_regression,risk_only,language_other_flag,0.0,14
random_forest,risk_only,uncertainty_score,0.24958090012469955,1
random_forest,risk_only,context_risk_score,0.21533757281905877,2
random_forest,risk_only,edit_distance_ratio,0.18031629706528432,3
random_forest,risk_only,overlap_flag,0.07551601771017072,4
random_forest,risk_only,llm_variant_flag,0.06294020708193078,5
random_forest,risk_only,num_changed_tokens,0.05403355983186762,6
random_forest,risk_only,rule_variant_flag,0.053061236324052824,7
random_forest,risk_only,changed_token_ratio,0.04607952910719155,8
random_forest,risk_only,api_used_flag,0.032862802175604056,9
random_forest,risk_only,heavy_overlap_flag,0.022504949640261004,10
random_forest,risk_only,language_en_flag,0.00399890554553013,11
random_forest,risk_only,language_zh_flag,0.0027143145423004973,12
random_forest,risk_only,language_fr_flag,0.0010537080320480415,13
random_forest,risk_only,language_other_flag,0.0,14
gradient_boosting,risk_only,uncertainty_score,0.3737844460407078,1
gradient_boosting,risk_only,edit_distance_ratio,0.2399301638835546,2
gradient_boosting,risk_only,llm_variant_flag,0.11686281911427475,3
gradient_boosting,risk_only,context_risk_score,0.10373548151020717,4
gradient_boosting,risk_only,overlap_flag,0.07198005495614668,5
gradient_boosting,risk_only,rule_variant_flag,0.06991146235822278,6
gradient_boosting,risk_only,num_changed_tokens,0.010351139980858869,7
gradient_boosting,risk_only,changed_token_ratio,0.009916791105008423,8
gradient_boosting,risk_only,api_used_flag,0.0019086635824582653,9
gradient_boosting,risk_only,language_en_flag,0.0007255338455032443,10
gradient_boosting,risk_only,heavy_overlap_flag,0.0005540755318979115,11
gradient_boosting,risk_only,language_fr_flag,0.00033824919552833494,12
gradient_boosting,risk_only,language_zh_flag,1.1188956311995626e-06,13
gradient_boosting,risk_only,language_other_flag,0.0,14
