clip_id,dataset_name,language,mode,has_reference_anchors,has_reference_events,num_reference_turns,num_predicted_turns,num_reference_overlap_events,num_predicted_overlap_events,speaker_label_error_rate,turn_time_coverage,boundary_mae,overlap_precision,overlap_recall,overlap_f1,interruption_precision,interruption_recall,interruption_f1,notes
fleurs_en_1548,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1548,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1548,Google FLEURS,en,pyannote_optional,true,false,1,1,0,0,0.318807,0.681193,1.0425,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1620,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1620,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1620,Google FLEURS,en,pyannote_optional,true,false,1,4,0,0,0.159341,0.840659,5.2535,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1510,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1510,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1510,Google FLEURS,en,pyannote_optional,true,false,1,1,0,0,0.190404,0.809596,0.754,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1578,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1578,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1578,Google FLEURS,en,pyannote_optional,true,false,1,1,0,0,0.160386,0.839614,0.332,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1652,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1652,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1652,Google FLEURS,en,pyannote_optional,true,false,1,1,0,0,0.396341,0.603659,0.975,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1531,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1531,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1531,Google FLEURS,en,pyannote_optional,true,false,1,1,0,0,0.08018,0.91982,0.178,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1528,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1528,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1528,Google FLEURS,en,pyannote_optional,true,false,1,2,0,0,0.341374,0.658626,2.07,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1595,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1595,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1595,Google FLEURS,en,pyannote_optional,true,false,1,3,0,0,0.208583,0.791417,2.7235,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1559,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1559,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1559,Google FLEURS,en,pyannote_optional,true,false,1,3,0,0,0.188841,0.811159,0.9135,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_en_1633,Google FLEURS,en,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_en_1633,Google FLEURS,en,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_en_1633,Google FLEURS,en,pyannote_optional,true,false,1,2,0,0,0.318249,0.681751,2.926,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_fr_1524,Google FLEURS,fr,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_fr_1524,Google FLEURS,fr,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_fr_1524,Google FLEURS,fr,pyannote_optional,true,false,1,5,0,0,0.211134,0.788866,5.0195,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_fr_1570,Google FLEURS,fr,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_fr_1570,Google FLEURS,fr,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_fr_1570,Google FLEURS,fr,pyannote_optional,true,false,1,1,0,0,0.2295,0.7705,0.6885,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_fr_1620,Google FLEURS,fr,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_fr_1620,Google FLEURS,fr,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_fr_1620,Google FLEURS,fr,pyannote_optional,true,false,1,2,0,0,0.035417,0.964583,1.259,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_fr_1533,Google FLEURS,fr,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_fr_1533,Google FLEURS,fr,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_fr_1533,Google FLEURS,fr,pyannote_optional,true,false,1,1,0,0,0.085369,0.914631,0.3355,,,,,,,Automatic pyannote diarization; no mock fallback.
fleurs_fr_1652,Google FLEURS,fr,no_diarization,true,false,1,1,0,0,1.0,1.0,,,,,,,,Naive baseline: one UNKNOWN turn across the clip and no predicted conversation events.
fleurs_fr_1652,Google FLEURS,fr,reference_assisted,true,false,1,1,0,0,0.0,1.0,0.0,,,,,,,Oracle/reference speaker turns; TalkWeaver rule-based event detection. Not automatic diarization performance.
fleurs_fr_1652,Google FLEURS,fr,pyannote_optional,true,false,1,1,0,0,0.556338,0.443662,2.37,,,,,,,Automatic pyannote diarization; no mock fallback.
