variant,dataset_name,language,num_clips,mean_num_anchors,mean_num_speaker_labeled_anchors,mean_num_overlap_anchors,mean_num_events,mean_num_term_candidates,mean_num_term_rescues_applied,mean_num_correction_audits,mean_num_unsupported_changes,mean_num_needs_review,mean_asr_error_rate,mean_corrected_error_rate,mean_anchor_coverage,notes
asr_only,AMI Meeting Corpus,en,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370536,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
asr_only,Google FLEURS,en,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154242,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
asr_only,Google FLEURS,fr,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273839,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
asr_only,Google FLEURS,zh-CN,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089651,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
constrained_correction,AMI Meeting Corpus,en,2,5.0,4.0,2.0,2.5,0.0,0.0,5.0,0.0,3.0,0.370536,0.370536,0.868651,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
constrained_correction,Google FLEURS,en,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.154242,0.154242,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
constrained_correction,Google FLEURS,fr,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.273839,0.273839,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
constrained_correction,Google FLEURS,zh-CN,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.089651,0.089651,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
full_talkweaver,AMI Meeting Corpus,en,2,5.0,4.0,2.0,2.5,0.0,0.0,5.0,0.0,3.0,0.370536,0.370536,0.868651,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
full_talkweaver,Google FLEURS,en,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.154242,0.154242,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
full_talkweaver,Google FLEURS,fr,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.273839,0.273839,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
full_talkweaver,Google FLEURS,zh-CN,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.089651,0.089651,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
overlap_aware,AMI Meeting Corpus,en,2,5.0,4.0,2.0,2.5,0.0,0.0,0.0,0.0,3.0,0.370536,,0.868651,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
overlap_aware,Google FLEURS,en,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154242,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
overlap_aware,Google FLEURS,fr,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273839,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
overlap_aware,Google FLEURS,zh-CN,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089651,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
reference_speaker_time,AMI Meeting Corpus,en,2,5.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.370536,,0.868651,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
reference_speaker_time,Google FLEURS,en,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154242,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
reference_speaker_time,Google FLEURS,fr,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273839,,1.0,"Small-subset aggregate. Reference speaker-time rows are oracle-assisted, not automatic diarization."
